Bias_by_Victim,White,Black_or_African_American,American_Indian_or_Alaskan_Native,Asian,Native_Hawaiian_or_Pacific_Islander,Group_of_Multiple_Races,Unknown_Race,Hispanic_or_Latino,Not_Hispanic_or_Latino,Group_of_Multiple_Ethnicities,Unknown_Ethnicity,Unknown_Offender,Total_Offenses
Anti-Jewish,179,41,1,7,0,14,258,7,82,3,143,396,896
Anti-Catholic,26,3,1,1,0,0,5,3,10,0,16,23,59
Anti-Protestant,13,3,0,0,0,2,1,2,3,0,14,19,38
Anti-Islamic (Muslim),98,32,0,5,0,6,22,7,31,4,88,62,225
Anti-Other Religion,31,12,0,1,5,2,8,2,11,0,33,37,96
"Anti-Multiple Religions, Group",12,6,0,0,0,0,3,0,2,0,15,29,50
Anti-Mormon,4,0,0,0,1,0,0,0,1,0,2,4,9
Anti-Jehovah's Witness,3,0,1,0,0,0,0,1,2,0,1,5,9
"Anti-Eastern Orthodox (Russian, Greek, Other)",19,4,1,0,0,0,1,1,12,0,12,7,32
Anti-Other Christian,11,5,0,1,0,5,5,2,8,0,8,15,42
Anti-Buddhist,4,3,0,1,0,0,0,0,7,0,1,2,10
Anti-Hindu,8,1,0,0,0,0,3,1,2,0,8,2,14
Anti-Sikh,30,10,2,0,0,1,0,2,21,3,17,21,64
Anti-Atheism/Agnosticism/etc.,1,2,0,0,0,0,0,0,1,0,2,3,6
Religion Total:,439,122,6,16,6,30,306,28,193,10,360,625,1550
