,State,Agency name,Lat,Lng
2,Alaska,Anchorage,61.2180556,-149.9002778
3,Alaska,Fairbanks,64.8377778,-147.7163888
4,Alaska,Juneau,58.3019444,-134.4197221
5,Alaska,Kotzebue,66.89833329999999,-162.5966666
9,Arizona,Coolidge,32.977839,-111.517624
10,Arizona,Flagstaff,35.1982836,-111.651302
11,Arizona,Gilbert,33.3528264,-111.789027
12,Arizona,Glendale,33.5386523,-112.1859866
13,Arizona,Maricopa,33.0581063,-112.0476423
14,Arizona,Mesa,33.4151843,-111.8314724
15,Arizona,Page,36.91472220000001,-111.4558333
16,Arizona,Peoria,33.5805955,-112.2373779
17,Arizona,Phoenix,33.4483771,-112.0740373
18,Arizona,Prescott,34.5400242,-112.4685025
19,Arizona,Scottsdale,33.4941704,-111.9260519
20,Arizona,St. Johns,34.5058698,-109.3609327
21,Arizona,Surprise,33.6292337,-112.3679279
22,Arizona,Tempe,33.4255104,-111.9400054
23,Arizona,Tucson,32.2226066,-110.9747108
24,Arizona,Yuma,32.6926512,-114.6276916
26,Arizona,University of Arizona,32.2318851,-110.9501094
31,Arkansas,Benton,34.5645371,-92.586828
32,Arkansas,Fort Smith,35.3859242,-94.39854749999999
33,Arkansas,Hot Springs,34.5037004,-93.0551795
34,Arkansas,Newport,35.6048018,-91.2817951
35,Arkansas,Rogers,36.3320196,-94.1185366
36,Arkansas,Sherwood,34.8150907,-92.2243153
37,Arkansas,Springdale,36.18674420000001,-94.1288141
44,California,Alameda,37.7798721,-122.2821855
45,California,Albany,37.886704,-122.2977557
46,California,American Canyon,38.1749178,-122.2608044
47,California,Anaheim,33.8365932,-117.9143012
48,California,Antioch,38.0049214,-121.805789
49,California,Apple Valley,34.5008311,-117.1858759
50,California,Arvin,35.2017986,-118.833105
51,California,Azusa,34.1336186,-117.9075627
52,California,Bakersfield,35.3732921,-119.0187125
53,California,Baldwin Park,34.0852868,-117.9608978
54,California,Beaumont,33.9294606,-116.977248
56,California,Bellflower,33.8816818,-118.1170117
57,California,Bell Gardens,33.9652918,-118.1514588
58,California,Berkeley,37.8718992,-122.2585399
